Brand,Model,Version,Category,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,ZIP,Province,Price_EUR
Peugeot,308,1.5BlueHDi S&S Active 130,Small,2018,144524,131,Manual,Diesel,3.6,5,28021,Madrid,8690
Ford,Fiesta,1.25 Trend 82,Small,2015,24812,82,Manual,Petrol,5.2,5,28050,Madrid,8699
Renault,Clio,TCe Energy Limited 66kW,Small,2017,60000,90,Manual,Petrol,4.7,5,28224,Madrid,8990
Alfa-Romeo,Giulietta,1.6JTD 120,Small,2016,170555,120,Manual,Diesel,3.9,5,28021,Madrid,8990
Ford,Focus,1.5TDCi Trend 95,Small,2015,147728,95,Manual,Diesel,3.8,5,28914,Madrid,8995
Nissan,Leaf,Acenta 30KWh,Small,2016,40096,109,Automatic,Electric,0.0,5,28021,Madrid,9190
Fiat,Tipo,1.3 Multijet II Easy,Small,2018,39943,95,Manual,Diesel,4.2,5,28703,Madrid,9390
Renault,Megane,1.5dCi Blue Life 70kW,Small,2019,112663,95,Manual,Diesel,3.9,5,28021,Madrid,9790
Ford,Focus,2.0TDCi Titanium Powershift,Small,2013,71166,163,Automatic,Diesel,5.3,5,28050,Madrid,9799
Fiat,500,1.2 Lounge,Small,2018,19619,69,Manual,Petrol,5.1,5,28050,Madrid,9845
Citroen,C4 Cactus,1.6 BlueHDi Feel 100,Small,2016,91293,99,Manual,Diesel,3.6,5,28050,Madrid,9935
Renault,Megane,1.5dCi Energy Zen 81kW,Small,2018,124559,110,Manual,Diesel,3.7,5,28021,Madrid,9990
Dacia,Sandero,1.5dCi Laureate 66kW,Small,2018,21749,90,Manual,Diesel,3.5,5,28021,Madrid,9990
Renault,Megane,1.5dCi Energy Business 81kW,Small,2018,107528,110,Manual,Diesel,3.7,5,28021,Madrid,10290
Renault,ZOE,Life 40 Flexi 57kW,Small,2017,20264,77,Automatic,Electric,0.0,5,28100,Madrid,10390
Citroen,C4 Cactus,1.5BlueHDi S&S Feel 100,Small,2019,68094,99,Manual,Diesel,4.0,5,28021,Madrid,10490
Fiat,Tipo,1.4 T-Jet Gasolina/GLP Lounge,Small,2018,47235,120,Manual,Compressed Natural Gas \(CNG\),8.3,5,28703,Madrid,10790
Volkswagen,Polo,1.4 TDI BMT Edition 55kW,Small,2017,14234,75,Manual,Diesel,3.4,5,28021,Madrid,10890
MINI,One,First,Small,2017,39390,75,Manual,Petrol,4.9,5,28021,Madrid,10890
Citroen,C4 Cactus,1.5BlueHDi S&S Business 100,Small,2019,60231,99,Manual,Diesel,4.0,5,28021,Madrid,11290
Renault,Megane,1.2 TCe Bose EDC 97kW,Small,2016,33650,132,Automatic,Petrol,5.4,5,28100,Madrid,11300
Renault,ZOE,Limited 40 R110 Flexi 80kW,Small,2019,9480,109,Automatic,Electric,0.0,5,28806,Madrid,11500
Audi,A1,Sportback 1.0 TFSI Adrenalin,Small,2017,118629,95,Manual,Petrol,4.3,5,28021,Madrid,11590
SEAT,Leon,1.6TDI CR S&S Reference Plus 115,Small,2018,57300,116,Manual,Diesel,4.0,5,28806,Madrid,11750
Mazda,3,2.0 Luxury 120,Small,2016,130124,120,Manual,Petrol,5.1,5,28021,Madrid,11790
Mercedes-Benz,A 180,180d,Small,2017,152663,109,Manual,Diesel,3.7,5,28021,Madrid,11890
Fiat,Tipo,1.3 Multijet II Easy,Small,2020,30600,95,Manual,Diesel,4.2,5,28703,Madrid,11890
Lexus,CT 200h,Hybrid Drive Move On,Small,2013,118500,136,Automatic,Hybrid,4.1,5,28050,Madrid,11990
Skoda,Octavia,1.4 TSI CNG Style 81kW,Small,2017,103401,110,Manual,Compressed Natural Gas \(CNG\),5.7,5,28021,Madrid,11990
Ford,Focus,2.0Ecoblue ST Line 150,Small,2019,167558,150,Manual,Diesel,4.4,5,28021,Madrid,12190
Audi,A1,Sportback 1.4TDI Adrenalin,Small,2017,93847,90,Manual,Diesel,3.7,5,28021,Madrid,12390
Fiat,Tipo,1.3 Multijet II Lounge,Small,2020,44500,95,Manual,Diesel,4.2,5,28002,Madrid,12500
Renault,Megane,1.3 TCe GPF Business 85kW,Small,2018,36098,116,Manual,Petrol,5.4,5,28021,Madrid,12790
Infiniti,Q30,1.5d Premium,Small,2017,126186,109,Manual,Diesel,3.9,5,28021,Madrid,12790
Mercedes-Benz,A 180,180CDI BE Urban,Small,2015,106673,109,Manual,Diesel,4.1,5,28021,Madrid,12790
Opel,Astra,GTC 2.0CDTi S/S Sportive,Small,2013,115000,165,Manual,Diesel,4.8,5,28660,Madrid,12800
Volvo,V40,D2 Momentum 120,Small,2017,94789,120,Manual,Diesel,3.4,5,28021,Madrid,12990
Toyota,Yaris,HSD 1.5 Active,Small,2017,57040,99,Automatic,Hybrid,3.3,5,28500,Madrid,12990
Hyundai,Ioniq,HEV 1.6 GDI Klass Nav,Small,2017,91151,141,Automatic,Hybrid,3.4,5,28021,Madrid,13190
Peugeot,308,1.5BlueHDi S&S Style 100,Small,2019,39962,99,Manual,Diesel,3.4,5,28021,Madrid,13290
Renault,Megane,1.3 TCe GPF Business 85kW,Small,2020,14700,116,Manual,Petrol,5.2,5,28021,Madrid,13290
Audi,A3,Sportback 1.6TDI 85kW,Small,2017,108903,116,Manual,Diesel,4.1,5,28021,Madrid,13390
Hyundai,Ioniq,HEV 1.6 GDI Klass Nav,Small,2018,98629,141,Automatic,Hybrid,3.4,5,28021,Madrid,13390
Audi,A3,Sportback 1.6TDI 85kW,Small,2017,108748,116,Manual,Diesel,4.1,5,28021,Madrid,13390
Audi,A3,1.4 TFSI Cod Ultra 110kW,Small,2017,119069,150,Manual,Petrol,4.5,5,28021,Madrid,13390
BMW,116,116i,Small,2017,90332,109,Manual,Petrol,5.0,5,28021,Madrid,13390
Mazda,3,3 2.0 Style 121kW,Small,2017,51024,165,Manual,Petrol,5.8,5,28914,Madrid,13495
Renault,Clio,TCe GPF Zen EDC 96kW,Small,2019,50437,131,Automatic,Petrol,5.2,5,28021,Madrid,13590
BMW,116,116d,Small,2017,79747,116,Manual,Diesel,4.1,5,28021,Madrid,13790
Volkswagen,Polo,1.0 TSI United 70kW,Small,2020,13369,95,Manual,Petrol,4.6,5,28021,Madrid,13990
Ford,Focus,1.5TDCi ST-Line 120,Small,2018,38582,120,Manual,Diesel,3.8,5,28021,Madrid,13990
Citroen,C3,1.5BlueHDi S&S Shine 100,Small,2019,36977,99,Manual,Diesel,3.7,5,28914,Madrid,13995
Peugeot,308,1.6BlueHDi S&S Style 100,Small,2018,24418,99,Manual,Diesel,3.6,5,28050,Madrid,14117
Audi,A3,Sportback 1.6TDI 85kW,Small,2018,113064,116,Manual,Diesel,4.1,5,28021,Madrid,14190
Volkswagen,Golf,1.6TDI Business Edition DSG7 85kW,Small,2017,68079,116,Automatic,Diesel,3.9,5,28021,Madrid,14190
