Brand,Model,Version,Type,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,Colour,ZIP,Province,Seller,Price_EUR
Citroen,C3,1.4HDI Collection,small,2006,182510,68,Manual,Diesel,4.4,5,Beige,08950,Barcelona,Dealer,2400
Audi,A1,1.4 TFSI Attraction 92kW,small,2017,67478,125,Manual,Petrol,4.9,5,Beige,08097,Barcelona,Dealer,14990
Renault,Clio,1.4 Dynamique,small,2007,31510,98,Manual,Petrol,6.6,5,Beige,08227,Barcelona,Dealer,4950
Renault,ZOE,Intens 40 R90 68kW,small,2017,34985,92,Automatic,Electric,0.0,5,Beige,08241,Barcelona,Dealer,10830
MINI,Cooper S,,small,2006,83700,174,Manual,Petrol,6.2,5,Beige,08120,Barcelona,Dealer,9800
Opel,Corsa,1.4 Enjoy,small,2008,123867,90,Manual,Petrol,5.9,5,Beige,08227,Barcelona,Dealer,4650
Fiat,500,1.0 Hybrid Dolcevita 52kW,small,2021,10,71,Manual,Petrol,0.0,5,Beige,08030,Barcelona,Dealer,15200
Chevrolet,Cruze,1.6 16v LT+ Clima,small,2012,84632,124,Manual,Petrol,6.6,5,Beige,08227,Barcelona,Dealer,7950
Nissan,Micra,1.5dCi S&S Acenta 90,small,2019,71031,90,Manual,Diesel,4.1,5,Beige,08227,Barcelona,Dealer,11727
Skoda,Rapid/Spaceback,1.0 TSI Like 70kW,small,2019,63056,95,Manual,Petrol,4.4,5,Beige,08227,Barcelona,Dealer,13182
Audi,A1,Sportback 1.4 TFSI Adrenalin S-T 92kW,small,2017,2683,125,Automatic,Petrol,5.0,5,Beige,08100,Barcelona,Dealer,20090
Volvo,C30,T5 Summum,small,2007,149000,230,Manual,Petrol,8.7,5,Beige,08015,Barcelona,Dealer,10900
Citroen,C3,1.4i SX,small,2005,77000,75,Manual,Petrol,6.1,5,Beige,08820,Barcelona,Dealer,3695
Mercedes-Benz,A Class,180CDI BE Style 7G-DCT,small,2013,56788,109,Automatic,Diesel,4.1,5,Beige,08227,Barcelona,Dealer,17250
MINI,Cooper S,Aut.,small,2018,39000,192,Automatic,Petrol,5.4,5,Beige,08693,Barcelona,Dealer,22490
Kia,Picanto,1.2 Emotion,small,2012,28000,84,Manual,Petrol,4.5,5,Beige,08015,Barcelona,Dealer,6900
Skoda,Rapid/Spaceback,1.4TDI Ambition,small,2016,101030,90,Manual,Diesel,3.6,5,Beige,08227,Barcelona,Dealer,10047
Fiat,500,500e 87Kw La Prima,small,2021,3000,118,Automatic,Electric,0.0,5,Beige,08030,Barcelona,Dealer,27900
Hyundai,i30,1.4 MPI BD 25 Aniversario 100,small,2016,47593,101,Manual,Petrol,5.6,5,Beige,08903,Barcelona,Dealer,11390
Skoda,Rapid/Spaceback,1.4TDI Like,small,2016,115595,90,Manual,Diesel,3.6,5,Beige,08227,Barcelona,Dealer,9252
Audi,A1,Sportback 1.0 TFSI Adrenalin,small,2018,37955,95,Manual,Petrol,4.3,5,Beige,08206,Barcelona,Dealer,16200
Volvo,S40,2.4 Momentum,small,2004,206956,140,Manual,Petrol,8.4,5,Beige,08227,Barcelona,Dealer,4650
Fiat,500,1.2 Color Therapy,small,2015,24193,69,Manual,Petrol,5.1,5,Beige,08903,Barcelona,Dealer,9899
Skoda,Octavia,1.0 TSI Ambition 115,small,2018,24944,116,Manual,Petrol,4.5,5,Beige,08830,Barcelona,Dealer,15500
MINI,Cooper D,,small,2017,45000,116,Automatic,Diesel,3.8,5,Beige,08820,Barcelona,Dealer,16990
Mercedes-Benz,A Class,,small,2005,140000,95,Manual,Petrol,6.2,5,Beige,08227,Barcelona,Dealer,2800
Lancia,Ypsilon,0.9 Gold Stop&Start,small,2011,74000,86,Manual,Petrol,4.2,5,Beige,08940,Barcelona,Dealer,6900
Ford,Focus,2.0Ecoblue Active Aut. 150,small,2020,5000,150,Automatic,Diesel,4.5,5,Beige,08908,Barcelona,Dealer,26500
Renault,Megane,1.6dCi Energy Dynamique S&S 130,small,2013,102626,131,Manual,Diesel,4.0,5,Beige,08227,Barcelona,Dealer,9500
Fiat,Bravo,1.9Mjt Dynamic 120,small,2007,125000,120,Manual,Diesel,5.3,5,Beige,08820,Barcelona,Dealer,4400
Citroen,C3,1.4HDI XTR,small,2008,165000,68,Manual,Diesel,4.4,5,Beige,08820,Barcelona,Dealer,4499
Peugeot,208,1.4HDi Active,small,2013,103000,68,Manual,Diesel,3.8,5,Beige,08940,Barcelona,Dealer,7900
MINI,Cooper D,Cooper D,small,2015,199000,116,Manual,Diesel,3.8,5,Beige,08014,Barcelona,Dealer,10990
BMW,3 Series,318dA Gran Turismo,sedan,2014,48600,143,Automatic,Diesel,4.8,5,Beige,08097,Barcelona,Dealer,17990
Renault,Talisman,1.6dCi Energy Zen EDC 96kW,sedan,2017,93000,131,Automatic,Diesel,4.2,5,Beige,08097,Barcelona,Dealer,13490
Nissan,Micra,5p IG-T 66 kW (90 CV) E6C S&S 4x2 Acenta,sedan,2018,28300,90,Manual,Petrol,5.1,5,Beige,08210,Barcelona,Dealer,13500
Renault,Fluence,Dynamique,sedan,2014,109549,110,Manual,Diesel,5.6,5,Beige,08241,Barcelona,Dealer,7430
Maserati,Quattroporte,Diesel Aut.,sedan,2014,68841,275,Automatic,Diesel,6.2,5,Beige,08227,Barcelona,Dealer,46300
Audi,A6,2.0TDI S line edition S-T 140kW,sedan,2017,91785,190,Automatic,Diesel,4.4,5,Beige,08174,Barcelona,Dealer,28500
Audi,A6,2.0TDI S line edition S-T 140kW,sedan,2016,83118,190,Automatic,Diesel,4.4,5,Beige,08227,Barcelona,Dealer,22710
Renault,Laguna,2.0 16v Dynamique,sedan,2004,162622,135,Manual,Petrol,7.0,5,Beige,08227,Barcelona,Dealer,2650
BMW,3 Series,320iA Gran Turismo,sedan,2015,119765,184,Automatic,Petrol,6.2,5,Beige,08172,Barcelona,Dealer,21490
Renault,Laguna,1.9DCi Authentique 100,sedan,2005,234000,99,Manual,Diesel,5.4,5,Beige,08950,Barcelona,Dealer,2400
Volkswagen,Passat,2.0 GL5,sedan,1988,193000,114,Manual,Petrol,0.0,5,Beige,08107,Barcelona,Dealer,1500
Volvo,V60,D3 Momentum Aut.,familiar,2011,169000,163,Automatic,Diesel,6.0,5,Beige,08950,Barcelona,Dealer,11990
Renault,Laguna,G.Tour Emotion dCi 110 eco2 ESM,familiar,2012,70523,110,Manual,Diesel,4.2,5,Beige,08097,Barcelona,Dealer,8990
Fiat,Tipo,SW 1.3 Multijet II Easy,familiar,2019,22000,95,Manual,Diesel,4.2,5,Beige,08030,Barcelona,Dealer,10990
Ford,Mondeo,SB 2.0TDCI ST-Line AWD 150,familiar,2018,51054,150,Manual,Diesel,4.9,5,Beige,08241,Barcelona,Dealer,18750
MINI,Cooper S,1.6 16V,familiar,2008,150000,174,Manual,Petrol,6.2,5,Beige,08251,Barcelona,Dealer,8900
MINI,Cooper Clubman,Cooper,familiar,2010,59600,122,Manual,Petrol,5.5,5,Beige,08026,Barcelona,Dealer,13900
BMW,2 Series,216dA Active Tourer,minivan,2017,95396,116,Automatic,Diesel,4.2,5,Beige,08241,Barcelona,Dealer,16290
Peugeot,Rifter,1.5BlueHDi S&S Standard Active 100,minivan,2018,62730,102,Manual,Diesel,4.2,5,Beige,08272,Barcelona,Dealer,20900
SEAT,Altea XL,1.6TDI CR S&S Reference E-eco.,minivan,2010,86642,105,Manual,Diesel,4.5,5,Beige,08310,Barcelona,Dealer,7400
Citroen,Xsara,Picasso 2.0HDI SX Top,minivan,2005,123000,90,Manual,Diesel,5.5,5,Beige,08922,Barcelona,Dealer,2290
Peugeot,3008,1.2 PureTech S&S Access 130,minivan,2017,104986,131,Manual,Petrol,4.9,5,Beige,08500,Barcelona,Dealer,15500
Volkswagen,Touran,1.6TDI CR BMT Advance 85kW,minivan,2017,74559,116,Manual,Diesel,4.5,5,Beige,08830,Barcelona,Dealer,19000
Citroen,C4,Grand Spacetourer 1.5BlueHDI Shine Pack EAT8 130,minivan,2021,17206,131,Automatic,Diesel,4.1,5,Beige,08830,Barcelona,Dealer,24890
BMW,2 Series,216d Gran Tourer,minivan,2015,99680,116,Manual,Diesel,4.2,5,Beige,08241,Barcelona,Dealer,14950
Citroen,Xsara,Picasso 1.6i SX,minivan,2003,244526,95,Manual,Petrol,7.5,5,Beige,08241,Barcelona,Dealer,2750
Peugeot,Rifter,1.5BlueHDi S&S Standard Allure 130,minivan,2019,58566,131,Manual,Diesel,4.2,5,Beige,08227,Barcelona,Dealer,19364
Ford,Tourneo Courier,1.0 Ecoboost Trend,minivan,2016,42000,102,Manual,Petrol,5.2,5,Beige,08015,Barcelona,Dealer,13400
Citroen,C4,Grand Picasso 1.2 PureTech S&S Feel 130,minivan,2018,38403,131,Manual,Petrol,5.0,5,Beige,08227,Barcelona,Dealer,17727
Dacia,Lodgy,1.5dCi Laureate 5pl. 66kW,minivan,2012,152147,90,Manual,Diesel,4.2,5,Beige,08227,Barcelona,Dealer,6500
Chrysler,Voyager,2.4i SE,minivan,2004,146000,150,Manual,Petrol,10.1,5,Beige,08520,Barcelona,Dealer,2499
Toyota,Corolla,Verso 2.2D4D Luna,minivan,2007,205000,136,Manual,Diesel,6.3,5,Beige,08950,Barcelona,Dealer,4600
SEAT,Altea XL,2.0TDI CR Style,minivan,2012,95000,140,Manual,Diesel,5.8,5,Beige,08023,Barcelona,Dealer,9900
Renault,Espace,1.9 dCi Authentique,minivan,2004,162000,120,Manual,Diesel,6.8,5,Beige,08251,Barcelona,Dealer,3500
Dacia,Lodgy,1.5dCi Laureate 5pl. 81kW,minivan,2015,149123,110,Manual,Diesel,4.4,5,Beige,08302,Barcelona,Dealer,8300
Mercedes-Benz,C Class,Sportcoupé 180K Indianapolis,coupe,2004,112000,143,Manual,Petrol,9.4,3,Beige,08227,Barcelona,Dealer,5900
Maserati,GranTurismo,Sport MC Shift Aut.,coupe,2015,60000,460,Automatic,Petrol,15.5,3,Beige,08500,Barcelona,Dealer,77990
Volkswagen,Passat CC,1.8 TSI,coupe,2010,170950,160,Manual,Petrol,7.6,3,Beige,08227,Barcelona,Dealer,8900
BMW,3 Series,335i Cabrio Aut.,cabrio,2007,73000,306,Automatic,Petrol,9.5,3,Beige,08120,Barcelona,Dealer,18500
BMW,3 Series,335i Cabrio Aut.,cabrio,2007,73000,306,Automatic,Petrol,9.5,3,Beige,08120,Barcelona,Dealer,18500
Volvo,C70,2.4i Momentum,cabrio,2009,175839,170,Manual,Petrol,9.0,3,Beige,08720,Barcelona,Dealer,8600
Renault,Captur,1.5dCi eco2 Energy Zen 110,suv,2015,113656,110,Manual,Diesel,3.7,5,Beige,08097,Barcelona,Dealer,11490
Lexus,RX 450h,Business,suv,2017,77000,313,Automatic,Hybrid,5.2,5,Beige,08203,Barcelona,Dealer,29990
Renault,Kadjar,1.2 TCe Energy Zen 97kW,suv,2018,33000,132,Manual,Petrol,5.6,5,Beige,08203,Barcelona,Dealer,16490
Renault,Captur,TCe eco2 Energy Zen 90,suv,2016,63691,90,Manual,Petrol,4.9,5,Beige,08227,Barcelona,Dealer,12570
Renault,Captur,TCe Energy Zen 120,suv,2017,46238,120,Manual,Petrol,5.5,5,Beige,08227,Barcelona,Dealer,13645
Renault,Captur,TCe Energy Zen 120,suv,2015,100448,120,Manual,Petrol,5.5,5,Beige,08030,Barcelona,Dealer,11900
Hyundai,Tucson,2.0CRDI BD Tecno Sky 4x2,suv,2016,55902,136,Manual,Diesel,4.9,5,Beige,08227,Barcelona,Dealer,19907
Citroen,C3 Aircross,BlueHDi S&S Shine 100,suv,2019,30500,102,Manual,Diesel,4.0,5,Beige,08020,Barcelona,Dealer,14700
Skoda,Karoq,1.0 TSI Ambition,suv,2018,63000,116,Manual,Petrol,5.3,5,Beige,08403,Barcelona,Dealer,19900
Land-Rover,Range Rover Evoque,2.2L eD4 Pure 4x2,suv,2014,74890,150,Manual,Diesel,5.0,5,Beige,08272,Barcelona,Dealer,22900
Renault,Captur,TCe Energy Limited 66kW (4.75),suv,2019,31467,90,Manual,Petrol,5.1,5,Beige,08903,Barcelona,Dealer,13845
Citroen,C3 Aircross,Puretech S&S Shine 110,suv,2018,17800,110,Manual,Petrol,5.0,5,Beige,08915,Barcelona,Dealer,14900
Honda,CR-V,2.2i-CTDi Comfort,suv,2009,140000,140,Manual,Diesel,6.5,5,Beige,08635,Barcelona,Dealer,11000
Kia,Sportage,1.7CRDi Drive,suv,2013,109687,116,Manual,Diesel,5.3,5,Beige,08903,Barcelona,Dealer,13599
Ford,Kuga,2.0TDCi Titanium 4x4 Powershift 163,suv,2013,99000,163,Automatic,Diesel,6.2,5,Beige,08403,Barcelona,Dealer,14490
Audi,Q7,3.0 TFSI Black line ed. quattro tiptronic,suv,2016,83900,333,Automatic,Petrol,8.1,5,Beige,08026,Barcelona,Dealer,45000
Nissan,Qashqai,2.0 Acenta 4x4,suv,2010,146000,141,Manual,Petrol,8.4,5,Beige,08520,Barcelona,Dealer,8699
Renault,Captur,1.5dCi eco2 Energy Intens 90,suv,2014,82657,90,Manual,Diesel,3.6,5,Beige,08903,Barcelona,Dealer,13199
Renault,Captur,TCe Energy Zen 120 EDC,suv,2016,74905,120,Automatic,Petrol,5.4,5,Beige,08227,Barcelona,Dealer,12897
Fiat,500X,1.6 E-Torq Lounge 4x2 81kW,suv,2017,22539,110,Manual,Petrol,6.4,5,Beige,08097,Barcelona,Dealer,12990
Renault,Koleos,2.0dCi Dynamique PK2 4x4,suv,2009,111000,150,Manual,Diesel,7.4,5,Beige,08241,Barcelona,Dealer,9900
Renault,Captur,1.5dCi Ecoleader Energy Zen EDC 90,suv,2016,116912,90,Automatic,Diesel,3.6,5,Beige,08389,Barcelona,Dealer,13900
Renault,Captur,1.5dCi E.eco2 S&S SL Adventure 90,suv,2013,46259,90,Manual,Diesel,3.6,5,Beige,08227,Barcelona,Dealer,11700
Fiat,500X,1.6 E-Torq Pop Star 4x2,suv,2017,83220,110,Manual,Petrol,6.4,5,Beige,08227,Barcelona,Dealer,11869
Renault,Captur,TCe Energy Zen 66kW,suv,2018,11528,90,Manual,Petrol,5.1,5,Beige,08100,Barcelona,Dealer,17290
Renault,Captur,TCe eco2 Energy Zen 90,suv,2015,128722,90,Manual,Petrol,4.9,5,Beige,08227,Barcelona,Dealer,10514
Citroen,C3 Aircross,Puretech S&S Feel 110,suv,2018,29000,110,Manual,Petrol,5.0,5,Beige,08820,Barcelona,Dealer,14975
Renault,Captur,1.5dCi Ecoleader Energy Zen EDC 90,suv,2017,74000,90,Automatic,Diesel,3.6,5,Beige,08820,Barcelona,Dealer,13990
Renault,Captur,TCe eco2 Energy Zen 90,suv,2015,79288,90,Manual,Petrol,4.9,5,Beige,08903,Barcelona,Dealer,11799
Toyota,Land Cruiser,200 4.5D-4D VXL Aut.,suv,2008,124000,286,Automatic,Diesel,10.2,5,Beige,08205,Barcelona,Dealer,42900
Fiat,500X,1.6 E-Torq Lounge 4x2 81kW,suv,2017,22539,110,Manual,Petrol,6.4,5,Beige,08950,Barcelona,Dealer,12990
Renault,Captur,1.5dCi Energy Zen 81kW,suv,2017,94498,110,Manual,Diesel,3.9,5,Beige,08903,Barcelona,Dealer,14208
Fiat,500X,1.6Mjt City Cross 4x2 88kW,suv,2018,48103,120,Manual,Diesel,4.1,5,Beige,08227,Barcelona,Dealer,15182
Mitsubishi,Outlander,200 MPI Motion 2WD 5pl. CVT,suv,2016,48318,150,Automatic,Petrol,6.2,5,Beige,08227,Barcelona,Dealer,18224
Volkswagen,Tiguan,2.0TDI BMT T1 4x2 110,suv,2014,57929,110,Manual,Diesel,5.3,5,Beige,08720,Barcelona,Dealer,16899
BMW,X5,3.0i Aut.,suv,2005,162000,231,Automatic,Petrol,12.9,5,Beige,08930,Barcelona,Dealer,10990
Renault,Captur,TCe Energy Zen 66kW,suv,2018,60500,90,Manual,Petrol,5.1,5,Beige,08302,Barcelona,Dealer,12700
Volvo,XC60,D4 Summum Aut.,suv,2012,60000,163,Automatic,Diesel,6.8,5,Beige,08389,Barcelona,Dealer,20450
Renault,Captur,1.5dCi eco2 Energy Zen 110,suv,2016,132000,110,Manual,Diesel,3.7,5,Beige,08389,Barcelona,Dealer,11850
Citroen,C3 Aircross,BlueHDi S&S Shine 100,suv,2019,15000,102,Manual,Diesel,4.0,5,Beige,08820,Barcelona,Dealer,15950
Land-Rover,Range Rover Sport,5.0 V8 SC AB Dynamic Aut.,suv,2014,65787,510,Automatic,Petrol,12.8,5,Beige,08227,Barcelona,Dealer,54500
Nissan,Qashqai,2.0dCi Tekna 4x2,suv,2008,152000,150,Manual,Diesel,6.6,5,Beige,08820,Barcelona,Dealer,8200
Volkswagen,Tiguan,2.0TDI Advance 110kW (4.75),suv,2020,6342,150,Manual,Diesel,4.5,5,Beige,08903,Barcelona,Dealer,25663
Bentley,Bentayga,6.0,suv,2017,41500,608,Automatic,Petrol,13.1,5,Beige,08038,Barcelona,Dealer,163900
Volvo,V40 Cross Country,D4 Summum Aut. 190,suv,2016,79000,190,Automatic,Diesel,4.3,5,Beige,08150,Barcelona,Dealer,22990
Mercedes-Benz,ML Class,M ML 320CDI Aut.,suv,2007,350000,224,Automatic,Diesel,9.4,5,Beige,08940,Barcelona,Dealer,12900
Audi,A1,Sportback 1.6TDI Adrenalin,small,2017,50972,116,Manual,Diesel,3.7,5,Blue,08227,Barcelona,Dealer,16308
Toyota,Yaris,1.3 Active,small,2014,47633,99,Manual,Petrol,5.2,5,Blue,08227,Barcelona,Dealer,9950
BMW,1 Series,118d,small,2017,97000,150,Manual,Diesel,4.4,5,Blue,08097,Barcelona,Dealer,15990
Mercedes-Benz,A Class,180CDI BE Urban,small,2013,130000,109,Manual,Diesel,4.1,5,Blue,08097,Barcelona,Dealer,14240
Opel,Corsa,1.2T XHL S/S Elegance 100,small,2021,10,101,Manual,Petrol,0.0,5,Blue,08226,Barcelona,Dealer,16900
Opel,Adam,1.4 XER S&S Glam,small,2016,75989,101,Manual,Petrol,5.1,5,Blue,08227,Barcelona,Dealer,10187
Dacia,Sandero,0.9 TCE Stepway Ambiance 66kW,small,2017,71086,90,Manual,Petrol,5.1,5,Blue,08227,Barcelona,Dealer,9252
Mercedes-Benz,A Class,200CDI BE Urban,small,2015,120000,136,Manual,Diesel,4.5,5,Blue,08097,Barcelona,Dealer,14990
Peugeot,208,1.2 VTi Active,small,2012,161779,82,Manual,Petrol,4.5,5,Blue,08097,Barcelona,Dealer,7490
Volkswagen,Polo,1.0 TSI Advance 70kW,small,2018,46021,95,Manual,Petrol,4.6,5,Blue,08097,Barcelona,Dealer,12490
Toyota,Yaris,Hybrid 1.5 Advance,small,2014,29068,99,Automatic,Hybrid,3.7,5,Blue,08903,Barcelona,Dealer,14499
Citroen,C1,1.0 VTi City Edition ETG 72,small,2019,14094,72,Automatic,Petrol,4.2,5,Blue,08903,Barcelona,Dealer,10935
Citroen,C4 Cactus,1.6 BlueHDi Shine 100,small,2018,84754,99,Manual,Diesel,3.6,5,Blue,08903,Barcelona,Dealer,13572
Ford,Focus,1.5Ecoblue ST Line Aut. 120,small,2018,32424,120,Automatic,Diesel,3.8,5,Blue,08097,Barcelona,Dealer,18490
Toyota,Aygo,70 x-play,small,2020,2631,72,Manual,Petrol,4.1,5,Blue,08097,Barcelona,Dealer,11490
Ford,Focus,1.5 Ecoboost Auto-S&S ST-Line 182,small,2016,99935,182,Manual,Petrol,5.5,5,Blue,08097,Barcelona,Dealer,16990
Peugeot,308,1.5BlueHDi S&S Style 130,small,2020,44500,131,Manual,Diesel,3.6,5,Blue,08097,Barcelona,Dealer,14990
Dacia,Sandero,1.5dCi Stepway 90,small,2016,40678,90,Manual,Diesel,4.0,5,Blue,08097,Barcelona,Dealer,10490
BMW,1 Series,116d EfficientDynamics,small,2016,45334,116,Manual,Diesel,3.4,5,Blue,08174,Barcelona,Dealer,19500
Audi,A3,Sportback 1.5 TFSI COD EVO S Line ed. S-T 110kW,small,2017,40625,150,Automatic,Petrol,5.0,5,Blue,08040,Barcelona,Dealer,23000
smart,forFour,EQ Prime,small,2021,25,82,Automatic,Electric,0.0,5,Blue,08017,Barcelona,Dealer,18900
Peugeot,308,1.2 PureTech S&S Allure 110,small,2019,25936,110,Manual,Petrol,4.4,5,Blue,08210,Barcelona,Dealer,14450
Audi,A3,1.6TDI CD Attraction,small,2015,104899,110,Manual,Diesel,4.0,5,Blue,08903,Barcelona,Dealer,15899
Lexus,CT 200h,200 h,small,2016,84012,99,Automatic,Hybrid,4.1,5,Blue,08241,Barcelona,Dealer,15890
Volkswagen,Polo,1.0 Conceptline,small,2000,121000,50,Manual,Petrol,5.6,5,Blue,08241,Barcelona,Dealer,3900
SEAT,Leon,2.0TDI CR S&S FR 150,small,2017,96506,150,Manual,Diesel,4.3,5,Blue,08241,Barcelona,Dealer,16290
Peugeot,308,1.2 PureTech S&S Allure 110,small,2020,12000,110,Manual,Petrol,4.4,5,Blue,08960,Barcelona,Dealer,16900
Ford,Fiesta,1.60 EcoBoost ST,small,2016,111500,182,Manual,Petrol,5.9,5,Blue,08520,Barcelona,Dealer,14990
Audi,A1,Sportback 1.6TDI Attraction,small,2017,88400,116,Manual,Diesel,3.7,5,Blue,08203,Barcelona,Dealer,13490
Citroen,C4 Cactus,1.2 PureTech S&S Shine 110,small,2019,34699,110,Manual,Petrol,4.5,5,Blue,08903,Barcelona,Dealer,15026
Hyundai,i10,1.0 Go Plus,small,2018,37232,67,Manual,Petrol,4.7,5,Blue,08903,Barcelona,Dealer,10026
Fiat,500,1.2 1957 Vintage´57,small,2015,58516,69,Manual,Petrol,5.1,5,Blue,08903,Barcelona,Dealer,9999
SEAT,Leon,1.4 TSI ACT S&S FR 150,small,2018,54656,150,Manual,Petrol,4.9,5,Blue,08903,Barcelona,Dealer,18208
Peugeot,308,1.6 BlueHDi Active 120,small,2017,119987,120,Manual,Diesel,3.6,5,Blue,08903,Barcelona,Dealer,11845
Renault,Clio,TCe RS Line 74kW,small,2019,35763,101,Manual,Petrol,4.3,5,Blue,08097,Barcelona,Dealer,15490
BMW,1 Series,116d,small,2012,112299,116,Manual,Diesel,4.3,5,Blue,08097,Barcelona,Dealer,12290
Skoda,Octavia,2.0TDI CR Ambition DSG,small,2016,98985,150,Automatic,Diesel,4.5,5,Blue,08097,Barcelona,Dealer,12990
Dacia,Sandero,1.5dCi Ambiance,small,2010,89994,68,Manual,Diesel,4.5,5,Blue,08097,Barcelona,Dealer,4990
Audi,A3,Sportback 2.0TDI Black line edition S-T 7 110kW,small,2018,115970,150,Automatic,Diesel,4.6,5,Blue,08097,Barcelona,Dealer,20990
Peugeot,208,1.2 Puretech S&S GT Line EAT8 130,small,2020,8500,131,Automatic,Petrol,4.5,5,Blue,08800,Barcelona,Dealer,21900
Skoda,Fabia,1.0 TSI Ambition 70kW,small,2018,17000,95,Manual,Petrol,4.6,5,Blue,08203,Barcelona,Dealer,11490
Audi,A3,1.6TDI Attraction,small,2010,178394,105,Manual,Diesel,4.1,5,Blue,08227,Barcelona,Dealer,7300
Honda,Civic,1.6 i-DTEC Elegance,small,2016,108421,120,Manual,Diesel,3.7,5,Blue,08227,Barcelona,Dealer,13972
Toyota,Auris,hybrid 140H Feel!,small,2017,119000,136,Automatic,Hybrid,3.9,5,Blue,08097,Barcelona,Dealer,10990
Opel,Astra,1.6CDTi S/S Excellence 136,small,2015,104277,136,Manual,Diesel,3.9,5,Blue,08097,Barcelona,Dealer,9990
Toyota,Yaris,1.0 Active,small,2016,64737,69,Manual,Petrol,4.3,5,Blue,08097,Barcelona,Dealer,7490
Toyota,Auris,120T Active,small,2017,59487,116,Manual,Petrol,4.8,5,Blue,08097,Barcelona,Dealer,11990
SEAT,Ibiza,1.0 EcoTSI S&S FR 110,small,2017,59627,110,Manual,Petrol,4.3,5,Blue,08097,Barcelona,Dealer,13490
Mercedes-Benz,A Class,,small,2017,59999,122,Manual,Petrol,5.6,5,Blue,08097,Barcelona,Dealer,19990
Honda,Civic,1.6 i-DTEC Elegance Navi,small,2015,124134,120,Manual,Diesel,3.7,5,Blue,08097,Barcelona,Dealer,11990
Skoda,Rapid/Spaceback,1.2TSI Active 77kW,small,2014,129090,105,Manual,Petrol,5.0,5,Blue,08097,Barcelona,Dealer,5990
Opel,Astra,1.4T S/S Excellence 125,small,2016,59000,125,Manual,Petrol,5.1,5,Blue,08097,Barcelona,Dealer,11990
SEAT,Ibiza,1.6TDI CR Style DPF 105,small,2012,170572,105,Manual,Diesel,4.3,5,Blue,08097,Barcelona,Dealer,6990
Volkswagen,Polo,1.0 Edition 55kW,small,2018,37676,75,Manual,Petrol,4.8,5,Blue,08097,Barcelona,Dealer,15490
Skoda,Fabia,1.0 MPI Ambition 55kW,small,2016,136225,75,Manual,Petrol,4.8,5,Blue,08097,Barcelona,Dealer,7990
Audi,A1,Sportback 1.6TDI Attraction,small,2015,115118,116,Manual,Diesel,3.7,5,Blue,08097,Barcelona,Dealer,11990
Ford,Ka/Ka+,Ka+ 1.19 Ti-VCT Ultimate,small,2017,106368,86,Manual,Petrol,4.9,5,Blue,08903,Barcelona,Dealer,8935
Skoda,Fabia,1.0 MPI Ambition 44kW,small,2020,10200,60,Manual,Petrol,4.7,5,Blue,08241,Barcelona,Dealer,11650
Ford,Focus,1.0 Ecoboost ST Line 125,small,2019,64600,125,Manual,Petrol,4.6,5,Blue,08520,Barcelona,Dealer,18990
Renault,Megane,TECH ROAD Energy TCe 97kW (130CV),sedan,2017,33500,132,Manual,Petrol,5.3,5,Blue,08097,Barcelona,Dealer,13990
Renault,Megane,GT Energy TCe 151kW (205CV) EDC,sedan,2016,80550,205,Automatic,Petrol,6.0,5,Blue,08097,Barcelona,Dealer,17490
Audi,A4,2.0TDI S tronic 140kW,sedan,2017,111513,190,Automatic,Diesel,4.1,5,Blue,08097,Barcelona,Dealer,20490
Citroen,C5,1.6HDI Business,sedan,2010,79815,109,Manual,Diesel,5.3,5,Blue,08097,Barcelona,Dealer,7490
SEAT,Leon,2.0 TDI 110kW (150CV) DSG-6 St&Sp FR,sedan,2017,146829,150,Manual,Diesel,4.5,5,Blue,08097,Barcelona,Dealer,13990
Jaguar,XJ,XJ8 4.2 V8 Executive Aut.,sedan,2008,123108,298,Automatic,Petrol,11.4,5,Blue,08227,Barcelona,Dealer,17450
Volvo,S60,,sedan,2003,190918,140,Manual,Petrol,8.4,5,Blue,08227,Barcelona,Dealer,3900
Mercedes-Benz,C Class,220BlueTec 7G Plus,sedan,2014,156482,170,Automatic,Diesel,4.3,5,Blue,08227,Barcelona,Dealer,19900
Citroen,C1,1.0 VTI 72 CITY EDITION 5P,sedan,2021,2300,72,Manual,Petrol,4.8,5,Blue,08210,Barcelona,Dealer,11450
Hyundai,i20,1.0 TGDI 74KW TECNO ACTIVE 5P,sedan,2019,27432,101,Manual,Petrol,5.2,5,Blue,08210,Barcelona,Dealer,12900
Mercedes-Benz,E Class,CGI BE Avantgarde,sedan,2011,119152,184,Manual,Petrol,7.1,5,Blue,08241,Barcelona,Dealer,15900
Citroen,C5,2.0i 16v SX,sedan,2004,179654,136,Manual,Petrol,8.3,5,Blue,08241,Barcelona,Dealer,2900
SEAT,Leon,1.4 TSI ACT 110kW (150CV) St&Sp FR,sedan,2017,115457,150,Manual,Petrol,4.9,5,Blue,08097,Barcelona,Dealer,13490
MINI,Cooper S,,sedan,2008,131750,175,Manual,Petrol,6.2,5,Blue,08097,Barcelona,Dealer,7990
Ford,Mondeo,2.0TDCi Trend,sedan,2008,190396,140,Manual,Diesel,5.9,5,Blue,08097,Barcelona,Dealer,5990
Peugeot,308,5p Allure BlueHDi 75KW (100CV),sedan,2019,28617,102,Manual,Diesel,3.7,5,Blue,08097,Barcelona,Dealer,15490
