Brand,Model,Version,Category,Year,Kms,Hp,Gear_type,Fuel_type,Fuel_cons,Doors,ZIP,Province,Price_EUR
Peugeot,308,1.5BlueHDi S&S Business Line 130,Small,2018,42014,131,Manual,Diesel,3.5,5,29651,Málaga,14899
Honda,Civic,1.8 i-VTEC Sport,Small,2015,34000,141,Manual,Petrol,6.1,5,29004,Málaga,14999
SEAT,Leon,1.5 TGI GNC S&S Style 130,Small,2019,50000,131,Manual,Compressed Natural Gas \(CNG\),5.4,5,29631,Málaga,15900
Abarth,595,1.4T-Jet Pista 118kW,Small,2018,12000,160,Manual,Petrol,6.0,5,29004,Málaga,16200
Honda,Civic,Hybrid 1.3 i-DSi i-VTEC 4p.,Sedan,2006,120300,95,Automatic,Petrol,4.6,5,29750,Málaga,3990
BMW,320,320d,Sedan,2004,220000,150,Manual,Diesel,5.7,5,29004,Málaga,5999
Citroen,C6,2.7HDi V6 Exclusive Aut.,Sedan,2008,110000,208,Automatic,Diesel,8.7,5,29750,Málaga,6990
Mercedes-Benz,E 200,CDI BE,Sedan,2014,297177,136,Manual,Diesel,5.1,5,29004,Málaga,10900
Volkswagen,Passat,2.0TDI Advance DSG7 110kW,Sedan,2018,134000,150,Automatic,Diesel,4.2,5,29006,Málaga,17600
Renault,Talisman,1.6 TCe Energy Initiale París EDC 147kW,Sedan,2016,88592,200,Automatic,Petrol,5.6,5,29680,Málaga,19500
Audi,S8,5.2 FSI quattro Tiptronic,Sedan,2008,169000,450,Automatic,Petrol,13.4,5,29770,Málaga,19990
BMW,535,535i,Sedan,2014,74965,306,Automatic,Petrol,8.0,5,29004,Málaga,22999
Opel,Insignia,1.5D DVH S&S Business Elegance AT8 122,Sedan,2020,11903,122,Automatic,Diesel,4.3,5,29004,Málaga,25000
BMW,316,316d Touring,Wagon,2015,260769,116,Manual,Diesel,4.6,5,29004,Málaga,9400
Toyota,Auris,Touring Sports 120T Active,Wagon,2017,52325,116,Manual,Petrol,4.8,5,29004,Málaga,15490
Volkswagen,Passat,Variant 2.0TDI Advance DSG7 110kW,Wagon,2018,143587,150,Automatic,Diesel,4.3,5,29006,Málaga,16800
BMW,550,550i Touring Aut.,Wagon,2006,121869,367,Automatic,Petrol,11.3,5,29004,Málaga,16900
Audi,A4,Avant 2.0TDI ultra 110kW,Wagon,2016,123046,150,Manual,Diesel,3.8,5,29004,Málaga,19200
Renault,Scenic,1.7 dCi 120cv - 18 Limited Blue,Wagon,2019,9000,120,Manual,Diesel,4.8,5,29600,Málaga,19500
Volvo,V90,D3 Kinetic,Wagon,2017,134000,150,Manual,Diesel,4.0,5,29003,Málaga,19900
BMW,530,530i Touring xDrive,Wagon,2018,56562,252,Automatic,Petrol,6.6,5,29003,Málaga,30900
Mercedes-Benz,C 220,Estate 220d 9G-Tronic,Wagon,2020,15493,194,Automatic,Diesel,4.7,5,29004,Málaga,37999
Ford,Mondeo,SB 1.6TDCi ECOnetic Trend,Wagon,2014,148000,116,Manual,Diesel,4.6,5,29003,Málaga,7500
BMW,520,520d Touring,Wagon,2012,194800,184,Automatic,Diesel,5.1,5,29004,Málaga,11890
Peugeot,308,SW 1.5BlueHDi S&S Style 130,Wagon,2018,75418,131,Manual,Diesel,3.7,5,29006,Málaga,12499
Volkswagen,Golf,Variant 1.0 TSI Advance 85kW,Wagon,2019,72000,116,Manual,Petrol,4.8,5,29631,Málaga,16200
Ford,Focus,Sportbreak 1.0 Ecoboost Titanium,Wagon,2019,60000,125,Manual,Petrol,4.8,5,29631,Málaga,16500
Dacia,Lodgy,1.5dCi Laureate 5pl. 66kW,Minivan,2014,425000,90,Manual,Diesel,4.2,5,29004,Málaga,3800
Opel,Zafira,1.6CDTI S/S Excellence 134,Minivan,2016,136000,135,Manual,Diesel,4.1,5,29004,Málaga,11450
Fiat,500L,1.3Mjt II S&S Pop Star 95,Minivan,2017,95318,95,Manual,Diesel,4.1,5,29004,Málaga,11900
Ford,Tourneo Custom,2.0TDCI Titanium 170,Minivan,2016,415000,170,Manual,Diesel,6.2,5,29006,Málaga,11999
Ford,C-Max,1.0 Ecoboost Auto-S&S Trend+ 125,Minivan,2018,47521,125,Manual,Petrol,5.1,5,29004,Málaga,12050
Volkswagen,Touran,1.9TDI Advance Bluemotion,Minivan,2014,101695,105,Manual,Diesel,5.4,5,29603,Málaga,13800
BMW,i3,,Minivan,2015,82340,170,Automatic,Electric,0.0,5,29004,Málaga,13890
Ford,S-Max,2.0TDCI Limited Ed. Powershift 140,Minivan,2016,97074,140,Automatic,Diesel,6.0,5,29120,Málaga,15490
SsangYong,Rodius,D22T Premium Aut.,Minivan,2018,73000,178,Automatic,Diesel,7.5,5,29631,Málaga,20500
Volkswagen,T5 Caravelle,2.0BiTDI BMT Comfortline Ed.L DSG,Minivan,2013,144142,179,Automatic,Diesel,8.1,5,29004,Málaga,25500
Mercedes-Benz,B 220,220CDI BE Sport 7G-DCT,Minivan,2019,12300,170,Automatic,Diesel,4.3,5,29700,Málaga,28950
Ford,Tourneo Courier,1.0 Ecoboost Trend,Minivan,2015,69500,102,Manual,Petrol,5.2,5,29006,Málaga,9899
Renault,Grand Scenic,1.5dCi Zen Collection 81kW,Minivan,2018,105000,110,Manual,Diesel,4.0,5,29004,Málaga,12950
Fiat,Doblo,Dobló Panorama 1.6 Multijet Corto Easy 70kW,Minivan,2020,27977,95,Manual,Diesel,6.0,5,29120,Málaga,14990
Peugeot,Rifter,1.2 PureTech S&S Standard Active NAV+ 110,Minivan,2019,33362,110,Manual,Petrol,5.5,5,29120,Málaga,18990
Ford,Galaxy,2.0TDCI Titanium 150,Minivan,2017,42586,150,Manual,Diesel,5.0,5,29004,Málaga,19850
SsangYong,Rodius,D22T Premium Aut.,Minivan,2018,75000,178,Automatic,Diesel,7.5,5,29631,Málaga,20500
Mercedes-Benz,B 200,200d 7G-DCT,Minivan,2017,37785,136,Automatic,Diesel,4.0,5,29006,Málaga,21899
SEAT,Alhambra,2.0TDI CR Eco. S&S Reference 150,Minivan,2018,67000,150,Manual,Diesel,5.2,5,29631,Málaga,23500
SEAT,Alhambra,2.0TDI CR Eco. S&S Reference 150,Minivan,2018,69000,150,Manual,Diesel,5.2,5,29631,Málaga,23500
Mercedes-Benz,Viano,3.0CDI Ambiente Largo Aut.,Minivan,2014,217906,224,Automatic,Diesel,8.6,5,29004,Málaga,24900
Mercedes-Benz,C 200,Sportcoupé K,Coupe,2002,203000,163,Manual,Petrol,9.7,3,29004,Málaga,2950
Mercedes-Benz,C 220,BlueTEC Sportive Avantgarde,Coupe,2017,40824,170,Manual,Diesel,4.0,3,29002,Málaga,24500
Lexus,RC 300h,Executive,Coupe,2016,69000,223,Automatic,Hybrid,5.0,3,29004,Málaga,26890
BMW,640,640dA Coupé,Coupe,2012,114325,313,Automatic,Diesel,5.4,3,29004,Málaga,27900
Audi,RS5,4.2 quattro S-Tronic,Coupe,2011,151794,450,Automatic,Petrol,10.8,3,29120,Málaga,27990
Audi,TT,Coupé 1.8 TFSI S line edition S-Tronic,Coupe,2018,33588,179,Automatic,Petrol,5.9,3,29004,Málaga,28900
Jaguar,XK,Coupé 5.0 V8 Aut.,Coupe,2012,88428,385,Automatic,Petrol,11.2,3,29004,Málaga,29890
BMW,X6,xDrive 40dA,Coupe,2014,90000,306,Automatic,Diesel,7.5,3,29004,Málaga,30600
Mercedes-Benz,GLC 220,Coupé 220d 4Matic Aut.,Coupe,2018,96000,170,Automatic,Diesel,5.0,3,29004,Málaga,41950
Mercedes-Benz,SL 350,Aut.,Coupe,2015,33800,306,Automatic,Petrol,7.5,3,29010,Málaga,47500
Porsche,Cayman,GTS PDK,Coupe,2015,100000,340,Automatic,Petrol,8.2,3,29660,Málaga,56900
Ferrari,348,TS,Coupe,1992,52400,300,Automatic,Petrol,0.0,3,29670,Málaga,57999
Mercedes-Benz,GLE 350,Coupé 350d 4Matic Aut.,Coupe,2020,29878,258,Automatic,Diesel,7.2,3,29700,Málaga,69975
