Year,Kms,Hp,Fuel_cons,Doors,Category_Convertible,Category_Coupe,Category_Minivan,Category_Sedan,Category_Small,Category_Suv,Category_Van,Category_Wagon,Gear_type_Automatic,Gear_type_Manual,Fuel_type_Compressed Natural Gas \(CNG\),Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_Petrol,Brand_encoded,Model_encoded,Colour_encoded,Province_encoded,Price_EUR
2018,15693,122,5.5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,19726.517699115044,15803.241379315845,15819.39518555667,16408.020408163266,20990
2021,7,82,4.7,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11424.584479371317,10088.677631578947,15819.39518555667,16408.020408163266,12800
2014,109549,110,4.4,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,11611.048120300751,7805.724171896538,15819.39518555667,16408.020408163266,7430
2013,56788,109,4.1,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,29532.89401165872,15866.760416666666,15819.39518555667,16408.020408163266,17250
2016,101030,90,3.6,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,13562.08540925267,9726.647058823595,15819.39518555667,16408.020408163266,10047
2018,34765,95,6.3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11624.755364806866,11660.903614457831,15819.39518555667,16408.020408163266,10273
2004,168757,114,6.8,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11611.048120300751,8565.955489614244,15819.39518555667,16408.020408163266,2450
2017,34985,92,0.0,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,11611.048120300751,12500.389135623618,15819.39518555667,16408.020408163266,10830
2017,94395,90,3.7,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11611.048120300751,8565.955489614244,15819.39518555667,16408.020408163266,10830
2013,160000,110,3.5,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11611.048120300751,8565.955489614244,15819.39518555667,16408.020408163266,6950
2016,115595,90,3.6,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,13562.08540925267,9726.647058823595,15819.39518555667,16408.020408163266,9252
2007,31510,98,6.6,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11611.048120300751,10227.805714285714,15819.39518555667,16408.020408163266,4950
2004,206956,140,8.4,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,19726.517699115044,4606.015924320253,15819.39518555667,16408.020408163266,4650
2013,102626,131,4.0,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11611.048120300751,8565.955489614244,15819.39518555667,16408.020408163266,9500
2012,68650,69,5.1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11624.755364806866,12585.785714285714,15819.39518555667,16408.020408163266,6900
2016,83725,110,4.7,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,13562.08540925267,8565.887323943662,25942.62984273111,16408.020408163266,10701
2019,54647,150,4.9,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15357.711086226203,16418.168341708544,25942.62984273111,16408.020408163266,16740
2012,161000,125,6.2,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15357.711086226203,16418.168341708544,25942.62984273111,16408.020408163266,7990
2005,150651,150,6.9,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,26918.515603799187,18714.44970414201,25942.62984273111,16408.020408163266,7200
2017,36658,140,5.0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,14715.525050100201,14192.908045977012,25942.62984273111,16408.020408163266,14720
2016,84000,116,4.1,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,28579.558624031008,16437.895833333332,25942.62984273111,16408.020408163266,18356
2018,84300,141,3.9,5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,14715.525050100201,14855.540540540542,25942.62984273111,16408.020408163266,16272
2015,87565,92,4.1,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11424.584479371317,7866.36364841256,25942.62984273111,16408.020408163266,7710
2017,70386,120,4.3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,13271.07512315271,10275.282352941176,25942.62984273111,16408.020408163266,10990
2012,33590,124,4.3,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,15152.037647058823,13225.7,25942.62984273111,16408.020408163266,9990
2017,103100,125,4.9,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,26918.515603799187,15095.810344827587,25942.62984273111,16408.020408163266,12990
2020,14245,120,5.2,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,13832.590163934427,12757.726315789474,25942.62984273111,16408.020408163266,13591
2018,6482,69,5.0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,13271.07512315271,8347.243243243247,25942.62984273111,16408.020408163266,9920
2019,41200,136,0.0,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,18031.51702395965,15973.84196185286,25942.62984273111,16408.020408163266,19930
2007,218000,69,4.9,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11624.755364806866,5601.060866674247,25942.62984273111,16408.020408163266,4900
2018,29990,110,4.3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15357.711086226203,10332.830065359478,25942.62984273111,16408.020408163266,13990
2019,77061,95,3.9,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11611.048120300751,8565.955489614244,25942.62984273111,16408.020408163266,15800
2018,44215,99,3.6,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11424.584479371317,13019.79411764706,25942.62984273111,16408.020408163266,13455
2007,143400,69,4.5,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,15619.18091286307,5026.56,25942.62984273111,16408.020408163266,4490
2017,61920,116,4.1,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,26918.515603799187,18714.44970414201,25942.62984273111,16408.020408163266,17750
2015,87000,131,4.6,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15619.18091286307,13307.096654275092,22221.02281021898,16408.020408163266,13500
2014,100930,114,4.5,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,13271.07512315271,12338.237903225807,22221.02281021898,16408.020408163266,8900
2012,43298,116,6.3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,10738.247881355932,10441.53903345725,22221.02281021898,16408.020408163266,8900
2017,27582,87,5.1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,10738.247881355932,10356.367647058823,22221.02281021898,16408.020408163266,10187
2011,89793,110,4.7,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10738.247881355932,10441.53903345725,22221.02281021898,16408.020408163266,6900
2016,49345,99,4.5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,14715.525050100201,11326.448275862069,22221.02281021898,16408.020408163266,11589
2020,16297,120,5.2,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,13832.590163934427,12757.726315789474,22221.02281021898,16408.020408163266,13545
2017,33390,99,3.6,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,11424.584479371317,13019.79411764706,22221.02281021898,16408.020408163266,13364
2014,71874,136,3.8,5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,25450.42774566474,13563.750000019158,22221.02281021898,16408.020408163266,14900
2015,66270,122,5.9,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,18475.00579710145,14486.000019108278,22221.02281021898,16408.020408163266,14486
2012,107683,90,3.8,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,26918.515603799187,15095.810344827587,22221.02281021898,16408.020408163266,8790
2003,151314,101,5.5,5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,18031.51702395965,15010.734375,44498.7,16408.020408163266,4300
2008,145500,120,7.0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,15619.18091286307,5026.56,44498.7,16408.020408163266,5900
2018,33000,250,6.8,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,13271.07512315271,12338.237903225807,44498.7,16408.020408163266,23990
2013,115000,105,4.3,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,18031.51702395965,10360.653200016228,44498.7,16408.020408163266,10150
2019,6067,116,4.8,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,26918.515603799187,15095.810344827587,44498.7,16408.020408163266,20727
2020,5533,136,0.0,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,15619.18091286307,15040.133333333333,44498.7,16408.020408163266,23545
2016,50918,208,5.4,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,17748.31730769231,14879.333333333334,44498.7,16408.020408163266,15794
2018,27087,145,6.6,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,17428.185185185186,18392.057142857153,24123.619593345655,16408.020408163266,18091
2011,64271,120,6.2,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,11424.584479371317,12531.042,24123.619593345655,16408.020408163266,7700
2014,108473,109,4.1,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,29532.89401165872,15866.760416666666,24123.619593345655,16408.020408163266,17300
