Year,Kms,Hp,Fuel_cons,Doors,Gear_type_Automatic,Gear_type_Manual,Fuel_type_CNG,Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_LPG,Fuel_type_Petrol,Type_cabrio,Type_coupe,Type_familiar,Type_minivan,Type_other,Type_sedan,Type_small,Type_suv,Type_van,Seller_Dealer,Seller_Private,Brand_encoded,Model_encoded,Colour_encoded,Province_encoded,Price_EUR
2007,125000,120,5.3,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10886.36388508892,4904.238133496876,15207.210251954823,22252.94124847001,4400
2008,165000,68,4.4,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10412.196983141082,8547.619047619048,15207.210251954823,22252.94124847001,4499
2013,103000,68,3.8,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13407.126549249837,14947.338028169013,15207.210251954823,22252.94124847001,7900
2015,199000,116,3.8,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17251.958183990442,15592.872,15207.210251954823,22252.94124847001,10990
2014,48600,143,4.8,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26202.40666450987,14949.803921568628,15207.210251954823,22252.94124847001,17990
2017,93000,131,4.2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11099.399408284024,15955.977777777778,15207.210251954823,22252.94124847001,13490
2018,28300,90,5.1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,15693.285714285714,10886.095238095239,15207.210251954823,22252.94124847001,13500
2014,109549,110,5.6,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11099.399408284024,7409.719637532868,15207.210251954823,22252.94124847001,7430
2014,68841,275,6.2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,53199.354838709674,49832.77668621238,15207.210251954823,22252.94124847001,46300
2017,91785,190,4.4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,25546.556756756756,19745.356435643564,15207.210251954823,22252.94124847001,28500
2016,83118,190,4.4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,25546.556756756756,19745.356435643564,15207.210251954823,22252.94124847001,22710
2004,162622,135,7.0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,11099.399408284024,4173.772727272727,15207.210251954823,22252.94124847001,2650
2015,119765,184,6.2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,26202.40666450987,14949.803921568628,15207.210251954823,22252.94124847001,21490
2005,234000,99,5.4,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11099.399408284024,4173.772727272727,15207.210251954823,22252.94124847001,2400
1988,193000,114,5.987094625390036,5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,16542.651072961373,15355.30452674897,15207.210251954823,22252.94124847001,1500
2011,169000,163,6.0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,18253.76070528967,20439.717391304348,15207.210251954823,22252.94124847001,11990
2012,70523,110,4.2,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11099.399408284024,4173.772727272727,15207.210251954823,22252.94124847001,8990
2019,22000,95,4.2,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10886.36388508892,11347.698412698413,15207.210251954823,22252.94124847001,10990
2018,51054,150,4.9,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13167.835322195704,10876.993150684932,15207.210251954823,22252.94124847001,18750
